Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprice Rag,FALSE,Blue Note 26; BLP 7011; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvisation On Pine Top's Boogie Woogie,FALSE,Blue Note 26; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rompin' In '44 (alternate take),TRUE,Mosaic MR6-109,1944,1985,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rompin' In '44,FALSE,Blue Note 30; B-6505; Mosaic MR6-109,1944,1944,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Interval,FALSE,Blue Note 31; BLP 5026; B-6505; Mosaic MR6-109,1944,1944,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smooth Sailing (alternate take),TRUE,Mosaic MR6-109,1944,1985,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smooth Sailing,FALSE,Blue Note 30; B-6505; Mosaic MR6-109,1944,1944,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seein' Red,FALSE,Blue Note 31; BLP 5026; B-6505; BST 89902; Mosaic MR6-109,1944,1944,ISSUED,Edmond Hall,Red Norvo,Teddy Wilson,Carl Kress,Johnny Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mizz,FALSE,Blue Note 32; B-6506; (J) NR-8104; Mosaic MR6-109,1944,1944,ISSUED,Sidney DeParis,Vic Dickenson,Ben Webster,James P. Johnson,Jimmy Shirley,John Simmons,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mizz (alternate take),TRUE,Mosaic MR6-109,1944,1990,ISSUED,Sidney DeParis,Vic Dickenson,Ben Webster,James P. Johnson,Jimmy Shirley,John Simmons,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Stride (alternate take),TRUE,Blue Note B-6506; Mosaic MR6-109,1944,1969,ISSUED,Sidney DeParis,Vic Dickenson,Ben Webster,James P. Johnson,Jimmy Shirley,John Simmons,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Stride,FALSE,Blue Note 32; B-6506; (J) NR-8104; Mosaic MR6-109,1944,1944,ISSUED,Sidney DeParis,Vic Dickenson,Ben Webster,James P. Johnson,Jimmy Shirley,John Simmons,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy-Mentin',FALSE,Blue Note 33; B-6506; (J) NR-8104; Mosaic MR6-109,1944,1944,ISSUED,Sidney DeParis,Vic Dickenson,Ben Webster,James P. Johnson,Jimmy Shirley,John Simmons,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
